data,Prêmio,Milhar,Grupo,Bicho
24/09/2022,1º,8982,21,Touro
24/09/2022,2º,9884,21,Touro
24/09/2022,3º,3231,8,Camelo
24/09/2022,4º,2156,14,Gato
24/09/2022,5º,1085,22,Tigre
23/09/2022,1º,6690,23,Urso
23/09/2022,2º,4006,2,Águia
23/09/2022,3º,1554,14,Gato
23/09/2022,4º,8470,18,Porco
23/09/2022,5º,3725,7,Carneiro
22/09/2022,1º,8679,20,Peru
22/09/2022,2º,9430,8,Camelo
22/09/2022,3º,2030,8,Camelo
22/09/2022,4º,8662,16,Leão
22/09/2022,5º,6362,16,Leão
21/09/2022,1º,5613,4,Borboleta
21/09/2022,2º,6891,23,Urso
21/09/2022,3º,2222,6,Cabra
21/09/2022,4º,1132,8,Camelo
21/09/2022,5º,7030,8,Camelo
20/09/2022,1º,6680,20,Peru
20/09/2022,2º,2096,24,Veado
20/09/2022,3º,8384,21,Touro
20/09/2022,4º,258,15,Jacaré
20/09/2022,5º,2726,7,Carneiro
19/09/2022,1º,6887,22,Tigre
19/09/2022,2º,5485,22,Tigre
19/09/2022,3º,7494,24,Veado
19/09/2022,4º,6604,1,Avestruz
19/09/2022,5º,8534,9,Cobra
17/09/2022,1º,4578,20,Peru
17/09/2022,2º,7782,21,Touro
17/09/2022,3º,6867,17,Macaco
17/09/2022,4º,1599,25,Vaca
17/09/2022,5º,7988,22,Tigre
16/09/2022,1º,1025,7,Carneiro
16/09/2022,2º,7188,22,Tigre
16/09/2022,3º,7064,16,Leão
16/09/2022,4º,1366,17,Macaco
16/09/2022,5º,480,20,Peru
15/09/2022,1º,5533,9,Cobra
15/09/2022,2º,2392,23,Urso
15/09/2022,3º,8998,25,Vaca
15/09/2022,4º,9156,14,Gato
15/09/2022,5º,6211,3,Burro
14/09/2022,1º,7130,8,Camelo
14/09/2022,2º,8574,19,Pavão
14/09/2022,3º,6619,5,Cachorro
14/09/2022,4º,7644,11,Cavalo
14/09/2022,5º,3069,18,Porco
13/09/2022,1º,3282,21,Touro
13/09/2022,2º,6880,20,Peru
13/09/2022,3º,5948,12,Elefante
13/09/2022,4º,303,1,Avestruz
13/09/2022,5º,4657,15,Jacaré
12/09/2022,1º,9790,23,Urso
12/09/2022,2º,7214,4,Borboleta
12/09/2022,3º,6110,3,Burro
12/09/2022,4º,9614,4,Borboleta
12/09/2022,5º,1510,3,Burro
10/09/2022,1º,8178,20,Peru
10/09/2022,2º,2451,13,Galo
10/09/2022,3º,6768,17,Macaco
10/09/2022,4º,7726,7,Carneiro
10/09/2022,5º,3736,9,Cobra
09/09/2022,1º,6652,13,Galo
09/09/2022,2º,9986,22,Tigre
09/09/2022,3º,8959,15,Jacaré
09/09/2022,4º,7909,3,Burro
09/09/2022,5º,6,2,Águia
08/09/2022,1º,8505,2,Águia
08/09/2022,2º,8578,20,Peru
08/09/2022,3º,4011,3,Burro
08/09/2022,4º,1583,21,Touro
08/09/2022,5º,1827,7,Carneiro
06/09/2022,1º,300,25,Vaca
06/09/2022,2º,6628,7,Carneiro
06/09/2022,3º,1821,6,Cabra
06/09/2022,4º,1950,13,Galo
06/09/2022,5º,5545,12,Elefante
05/09/2022,1º,3785,22,Tigre
05/09/2022,2º,8496,24,Veado
05/09/2022,3º,4377,20,Peru
05/09/2022,4º,8782,21,Touro
05/09/2022,5º,1290,23,Urso
03/09/2022,1º,2624,6,Cabra
03/09/2022,2º,9676,19,Pavão
03/09/2022,3º,2183,21,Touro
03/09/2022,4º,9013,4,Borboleta
03/09/2022,5º,6348,12,Elefante
02/09/2022,1º,7692,23,Urso
02/09/2022,2º,2941,11,Cavalo
02/09/2022,3º,4492,23,Urso
02/09/2022,4º,7232,8,Camelo
02/09/2022,5º,1798,25,Vaca
01/09/2022,1º,4539,10,Coelho
01/09/2022,2º,1179,20,Peru
01/09/2022,3º,6739,10,Coelho
01/09/2022,4º,53,14,Gato
01/09/2022,5º,7104,1,Avestruz
31/08/2022,1º,9134,9,Cobra
31/08/2022,2º,1023,6,Cabra
31/08/2022,3º,7547,12,Elefante
31/08/2022,4º,9620,5,Cachorro
31/08/2022,5º,8484,21,Touro
30/08/2022,1º,1222,6,Cabra
30/08/2022,2º,6726,7,Carneiro
30/08/2022,3º,3397,25,Vaca
30/08/2022,4º,7709,3,Burro
30/08/2022,5º,9852,13,Galo
29/08/2022,1º,4188,22,Tigre
29/08/2022,2º,3726,7,Carneiro
29/08/2022,3º,1997,25,Vaca
29/08/2022,4º,9855,14,Gato
29/08/2022,5º,7253,14,Gato
27/08/2022,1º,8192,23,Urso
27/08/2022,2º,5792,23,Urso
27/08/2022,3º,1338,10,Coelho
27/08/2022,4º,8529,8,Camelo
27/08/2022,5º,1905,2,Águia
26/08/2022,1º,8240,10,Coelho
26/08/2022,2º,3023,6,Cabra
26/08/2022,3º,3076,19,Pavão
26/08/2022,4º,2206,2,Águia
26/08/2022,5º,1814,4,Borboleta
25/08/2022,1º,746,12,Elefante
25/08/2022,2º,876,19,Pavão
25/08/2022,3º,2753,14,Gato
25/08/2022,4º,5894,24,Veado
25/08/2022,5º,1127,7,Carneiro
24/08/2022,1º,9452,13,Galo
24/08/2022,2º,7383,21,Touro
24/08/2022,3º,3297,25,Vaca
24/08/2022,4º,493,24,Veado
24/08/2022,5º,8976,19,Pavão
23/08/2022,1º,7625,7,Carneiro
23/08/2022,2º,9984,21,Touro
23/08/2022,3º,9321,6,Cabra
23/08/2022,4º,16,4,Borboleta
23/08/2022,5º,1961,16,Leão
22/08/2022,1º,6182,21,Touro
22/08/2022,2º,5340,10,Coelho
22/08/2022,3º,1233,9,Cobra
22/08/2022,4º,4468,17,Macaco
22/08/2022,5º,8571,18,Porco
20/08/2022,1º,2669,18,Porco
20/08/2022,2º,2728,7,Carneiro
20/08/2022,3º,3661,16,Leão
20/08/2022,4º,8164,16,Leão
20/08/2022,5º,9866,17,Macaco
19/08/2022,1º,6558,15,Jacaré
19/08/2022,2º,1235,9,Cobra
19/08/2022,3º,426,7,Carneiro
19/08/2022,4º,6415,4,Borboleta
19/08/2022,5º,4487,22,Tigre
18/08/2022,1º,4160,15,Jacaré
18/08/2022,2º,1644,11,Cavalo
18/08/2022,3º,4020,5,Cachorro
18/08/2022,4º,626,7,Carneiro
18/08/2022,5º,3384,21,Touro
17/08/2022,1º,2470,18,Porco
17/08/2022,2º,7836,9,Cobra
17/08/2022,3º,6293,24,Veado
17/08/2022,4º,7248,12,Elefante
17/08/2022,5º,7093,24,Veado
16/08/2022,1º,1147,12,Elefante
16/08/2022,2º,9871,18,Porco
16/08/2022,3º,2002,1,Avestruz
16/08/2022,4º,1588,22,Tigre
16/08/2022,5º,7653,14,Gato
15/08/2022,1º,1957,15,Jacaré
15/08/2022,2º,2230,8,Camelo
15/08/2022,3º,811,3,Burro
15/08/2022,4º,1919,5,Cachorro
15/08/2022,5º,5785,22,Tigre
13/08/2022,1º,501,1,Avestruz
13/08/2022,2º,6360,15,Jacaré
13/08/2022,3º,3834,9,Cobra
13/08/2022,4º,2705,2,Águia
13/08/2022,5º,5654,14,Gato
12/08/2022,1º,1245,12,Elefante
12/08/2022,2º,1977,20,Peru
12/08/2022,3º,1495,24,Veado
12/08/2022,4º,5583,21,Touro
12/08/2022,5º,2946,12,Elefante
11/08/2022,1º,3663,16,Leão
11/08/2022,2º,6912,3,Burro
11/08/2022,3º,8695,24,Veado
11/08/2022,4º,5190,23,Urso
11/08/2022,5º,2699,25,Vaca
10/08/2022,1º,7499,25,Vaca
10/08/2022,2º,4143,11,Cavalo
10/08/2022,3º,5644,11,Cavalo
10/08/2022,4º,1478,20,Peru
10/08/2022,5º,3919,5,Cachorro
09/08/2022,1º,1830,8,Camelo
09/08/2022,2º,2244,11,Cavalo
09/08/2022,3º,1789,23,Urso
09/08/2022,4º,9223,6,Cabra
09/08/2022,5º,8166,17,Macaco
08/08/2022,1º,7970,18,Porco
08/08/2022,2º,6384,21,Touro
08/08/2022,3º,8657,15,Jacaré
08/08/2022,4º,8448,12,Elefante
08/08/2022,5º,9838,10,Coelho
06/08/2022,1º,9066,17,Macaco
06/08/2022,2º,3990,23,Urso
06/08/2022,3º,5400,25,Vaca
06/08/2022,4º,9852,13,Galo
06/08/2022,5º,4977,20,Peru
05/08/2022,1º,1724,6,Cabra
05/08/2022,2º,55,14,Gato
05/08/2022,3º,5297,25,Vaca
05/08/2022,4º,8285,22,Tigre
05/08/2022,5º,2303,1,Avestruz
04/08/2022,1º,6804,1,Avestruz
04/08/2022,2º,4078,20,Peru
04/08/2022,3º,1075,19,Pavão
04/08/2022,4º,9372,18,Porco
04/08/2022,5º,8044,11,Cavalo
03/08/2022,1º,6040,10,Coelho
03/08/2022,2º,3590,23,Urso
03/08/2022,3º,1928,7,Carneiro
03/08/2022,4º,6702,1,Avestruz
03/08/2022,5º,5589,23,Urso
02/08/2022,1º,3883,21,Touro
02/08/2022,2º,1825,7,Carneiro
02/08/2022,3º,9259,15,Jacaré
02/08/2022,4º,1504,1,Avestruz
02/08/2022,5º,7509,3,Burro
01/08/2022,1º,2076,19,Pavão
01/08/2022,2º,5939,10,Coelho
01/08/2022,3º,899,25,Vaca
01/08/2022,4º,8972,18,Porco
01/08/2022,5º,1392,23,Urso
30/07/2022,1º,7382,21,Touro
30/07/2022,2º,4904,1,Avestruz
30/07/2022,3º,1564,16,Leão
30/07/2022,4º,4182,21,Touro
30/07/2022,5º,2020,5,Cachorro
29/07/2022,1º,3119,5,Cachorro
29/07/2022,2º,3765,17,Macaco
29/07/2022,3º,3586,22,Tigre
29/07/2022,4º,1529,8,Camelo
29/07/2022,5º,5874,19,Pavão
28/07/2022,1º,8554,14,Gato
28/07/2022,2º,3912,3,Burro
28/07/2022,3º,5136,9,Cobra
28/07/2022,4º,1344,11,Cavalo
28/07/2022,5º,2570,18,Porco
27/07/2022,1º,9679,20,Peru
27/07/2022,2º,2198,25,Vaca
27/07/2022,3º,6715,4,Borboleta
27/07/2022,4º,1700,25,Vaca
27/07/2022,5º,9901,1,Avestruz
26/07/2022,1º,1798,25,Vaca
26/07/2022,2º,16,4,Borboleta
26/07/2022,3º,6102,1,Avestruz
26/07/2022,4º,6708,2,Águia
26/07/2022,5º,8950,13,Galo
25/07/2022,1º,1538,10,Coelho
25/07/2022,2º,9741,11,Cavalo
25/07/2022,3º,9351,13,Galo
25/07/2022,4º,5268,17,Macaco
25/07/2022,5º,5830,8,Camelo
23/07/2022,1º,5755,14,Gato
23/07/2022,2º,2639,10,Coelho
23/07/2022,3º,3892,23,Urso
23/07/2022,4º,2283,21,Touro
23/07/2022,5º,8392,23,Urso
22/07/2022,1º,6139,10,Coelho
22/07/2022,2º,1217,5,Cachorro
22/07/2022,3º,5129,8,Camelo
22/07/2022,4º,4909,3,Burro
22/07/2022,5º,4372,18,Porco
21/07/2022,1º,1416,4,Borboleta
21/07/2022,2º,9323,6,Cabra
21/07/2022,3º,1461,16,Leão
21/07/2022,4º,351,13,Galo
21/07/2022,5º,455,14,Gato
20/07/2022,1º,437,10,Coelho
20/07/2022,2º,9429,8,Camelo
20/07/2022,3º,3116,4,Borboleta
20/07/2022,4º,9664,16,Leão
20/07/2022,5º,6028,7,Carneiro
19/07/2022,1º,7865,17,Macaco
19/07/2022,2º,3710,3,Burro
19/07/2022,3º,1047,12,Elefante
19/07/2022,4º,8138,10,Coelho
19/07/2022,5º,8817,5,Cachorro
18/07/2022,1º,8075,19,Pavão
18/07/2022,2º,4975,19,Pavão
18/07/2022,3º,7569,18,Porco
18/07/2022,4º,8515,4,Borboleta
18/07/2022,5º,408,2,Águia
16/07/2022,1º,6784,21,Touro
16/07/2022,2º,2535,9,Cobra
16/07/2022,3º,6848,12,Elefante
16/07/2022,4º,4856,14,Gato
16/07/2022,5º,1552,13,Galo
15/07/2022,1º,9474,19,Pavão
15/07/2022,2º,3107,2,Águia
15/07/2022,3º,4170,18,Porco
15/07/2022,4º,6601,1,Avestruz
15/07/2022,5º,4494,24,Veado
14/07/2022,1º,2740,10,Coelho
14/07/2022,2º,4233,9,Cobra
14/07/2022,3º,1983,21,Touro
14/07/2022,4º,7643,11,Cavalo
14/07/2022,5º,9572,18,Porco
13/07/2022,1º,7505,2,Águia
13/07/2022,2º,1908,2,Águia
13/07/2022,3º,8228,7,Carneiro
13/07/2022,4º,4328,7,Carneiro
13/07/2022,5º,9704,1,Avestruz
12/07/2022,1º,4889,23,Urso
12/07/2022,2º,1878,20,Peru
12/07/2022,3º,809,3,Burro
12/07/2022,4º,9456,14,Gato
12/07/2022,5º,6033,9,Cobra
11/07/2022,1º,1057,15,Jacaré
11/07/2022,2º,4914,4,Borboleta
11/07/2022,3º,3156,14,Gato
11/07/2022,4º,1849,13,Galo
11/07/2022,5º,2485,22,Tigre
09/07/2022,1º,6961,16,Leão
09/07/2022,2º,1033,9,Cobra
09/07/2022,3º,9173,19,Pavão
09/07/2022,4º,4915,4,Borboleta
09/07/2022,5º,2253,14,Gato
08/07/2022,1º,9589,23,Urso
08/07/2022,2º,8936,9,Cobra
08/07/2022,3º,150,13,Galo
08/07/2022,4º,3579,20,Peru
08/07/2022,5º,8756,14,Gato
07/07/2022,1º,2199,25,Vaca
07/07/2022,2º,5841,11,Cavalo
07/07/2022,3º,173,19,Pavão
07/07/2022,4º,8597,25,Vaca
07/07/2022,5º,4298,25,Vaca
06/07/2022,1º,7310,3,Burro
06/07/2022,2º,2717,5,Cachorro
06/07/2022,3º,114,4,Borboleta
06/07/2022,4º,8476,19,Pavão
06/07/2022,5º,9894,24,Veado
05/07/2022,1º,9892,23,Urso
05/07/2022,2º,6885,22,Tigre
05/07/2022,3º,8628,7,Carneiro
05/07/2022,4º,4465,17,Macaco
05/07/2022,5º,4568,17,Macaco
04/07/2022,1º,6164,16,Leão
04/07/2022,2º,2334,9,Cobra
04/07/2022,3º,5978,20,Peru
04/07/2022,4º,343,11,Cavalo
04/07/2022,5º,2745,12,Elefante
02/07/2022,1º,7644,11,Cavalo
02/07/2022,2º,8051,13,Galo
02/07/2022,3º,3695,24,Veado
02/07/2022,4º,523,6,Cabra
02/07/2022,5º,4268,17,Macaco
01/07/2022,1º,1855,14,Gato
01/07/2022,2º,2876,19,Pavão
01/07/2022,3º,7138,10,Coelho
01/07/2022,4º,7184,21,Touro
01/07/2022,5º,4784,21,Touro
30/06/2022,1º,6429,8,Camelo
30/06/2022,2º,9212,3,Burro
30/06/2022,3º,6586,22,Tigre
30/06/2022,4º,999,25,Vaca
30/06/2022,5º,4983,21,Touro
29/06/2022,1º,5795,24,Veado
29/06/2022,2º,3148,12,Elefante
29/06/2022,3º,6354,14,Gato
29/06/2022,4º,8060,15,Jacaré
29/06/2022,5º,8517,5,Cachorro
28/06/2022,1º,3054,14,Gato
28/06/2022,2º,2541,11,Cavalo
28/06/2022,3º,8541,11,Cavalo
28/06/2022,4º,4049,13,Galo
28/06/2022,5º,19,5,Cachorro
27/06/2022,1º,1411,3,Burro
27/06/2022,2º,5131,8,Camelo
27/06/2022,3º,6568,17,Macaco
27/06/2022,4º,1116,4,Borboleta
27/06/2022,5º,7844,11,Cavalo
25/06/2022,1º,8263,16,Leão
25/06/2022,2º,3878,20,Peru
25/06/2022,3º,266,17,Macaco
25/06/2022,4º,2791,23,Urso
25/06/2022,5º,3488,22,Tigre
24/06/2022,1º,5025,7,Carneiro
24/06/2022,2º,6810,3,Burro
24/06/2022,3º,8434,9,Cobra
24/06/2022,4º,6627,7,Carneiro
24/06/2022,5º,7181,21,Touro
23/06/2022,1º,7685,22,Tigre
23/06/2022,2º,4957,15,Jacaré
23/06/2022,3º,4783,21,Touro
23/06/2022,4º,8125,7,Carneiro
23/06/2022,5º,2993,24,Veado
22/06/2022,1º,6207,2,Águia
22/06/2022,2º,397,25,Vaca
22/06/2022,3º,2777,20,Peru
22/06/2022,4º,2434,9,Cobra
22/06/2022,5º,974,19,Pavão
21/06/2022,1º,1791,23,Urso
21/06/2022,2º,8459,15,Jacaré
21/06/2022,3º,2191,23,Urso
21/06/2022,4º,9638,10,Coelho
21/06/2022,5º,3186,22,Tigre
20/06/2022,1º,6186,22,Tigre
20/06/2022,2º,9808,2,Águia
20/06/2022,3º,8807,2,Águia
20/06/2022,4º,2620,5,Cachorro
20/06/2022,5º,5098,25,Vaca
18/06/2022,1º,4272,18,Porco
18/06/2022,2º,2273,19,Pavão
18/06/2022,3º,1707,2,Águia
18/06/2022,4º,1452,13,Galo
18/06/2022,5º,5900,25,Vaca
17/06/2022,1º,7738,10,Coelho
17/06/2022,2º,8749,13,Galo
17/06/2022,3º,1133,9,Cobra
17/06/2022,4º,1917,5,Cachorro
17/06/2022,5º,7436,9,Cobra
16/06/2022,1º,3444,11,Cavalo
16/06/2022,2º,5934,9,Cobra
16/06/2022,3º,5887,22,Tigre
16/06/2022,4º,1413,4,Borboleta
16/06/2022,5º,2111,3,Burro
15/06/2022,1º,4375,19,Pavão
15/06/2022,2º,1099,25,Vaca
15/06/2022,3º,6010,3,Burro
15/06/2022,4º,3020,5,Cachorro
15/06/2022,5º,4390,23,Urso
14/06/2022,1º,774,19,Pavão
14/06/2022,2º,3097,25,Vaca
14/06/2022,3º,9186,22,Tigre
14/06/2022,4º,8673,19,Pavão
14/06/2022,5º,2430,8,Camelo
13/06/2022,1º,4566,17,Macaco
13/06/2022,2º,3099,25,Vaca
13/06/2022,3º,3000,25,Vaca
13/06/2022,4º,7102,1,Avestruz
13/06/2022,5º,7281,21,Touro
11/06/2022,1º,1848,12,Elefante
11/06/2022,2º,5582,21,Touro
11/06/2022,3º,7388,22,Tigre
11/06/2022,4º,3901,1,Avestruz
11/06/2022,5º,1748,12,Elefante
10/06/2022,1º,2840,10,Coelho
10/06/2022,2º,976,19,Pavão
10/06/2022,3º,907,2,Águia
10/06/2022,4º,9417,5,Cachorro
10/06/2022,5º,445,12,Elefante
09/06/2022,1º,5970,18,Porco
09/06/2022,2º,4852,13,Galo
09/06/2022,3º,4162,16,Leão
09/06/2022,4º,4151,13,Galo
09/06/2022,5º,3650,13,Galo
08/06/2022,1º,7665,17,Macaco
08/06/2022,2º,2550,13,Galo
08/06/2022,3º,4091,23,Urso
08/06/2022,4º,5051,13,Galo
08/06/2022,5º,1453,14,Gato
07/06/2022,1º,9538,10,Coelho
07/06/2022,2º,8019,5,Cachorro
07/06/2022,3º,1748,12,Elefante
07/06/2022,4º,4412,3,Burro
07/06/2022,5º,6399,25,Vaca
06/06/2022,1º,9462,16,Leão
06/06/2022,2º,9287,22,Tigre
06/06/2022,3º,7605,2,Águia
06/06/2022,4º,9477,20,Peru
06/06/2022,5º,4256,14,Gato
04/06/2022,1º,9832,8,Camelo
04/06/2022,2º,2963,16,Leão
04/06/2022,3º,6508,2,Águia
04/06/2022,4º,8667,17,Macaco
04/06/2022,5º,8800,25,Vaca
03/06/2022,1º,2403,1,Avestruz
03/06/2022,2º,3018,5,Cachorro
03/06/2022,3º,9,3,Burro
03/06/2022,4º,2689,23,Urso
03/06/2022,5º,7902,1,Avestruz
02/06/2022,1º,8364,16,Leão
02/06/2022,2º,8759,15,Jacaré
02/06/2022,3º,1687,22,Tigre
02/06/2022,4º,9275,19,Pavão
02/06/2022,5º,903,1,Avestruz
01/06/2022,1º,6293,24,Veado
01/06/2022,2º,7394,24,Veado
01/06/2022,3º,5925,7,Carneiro
01/06/2022,4º,4701,1,Avestruz
01/06/2022,5º,590,23,Urso
31/05/2022,1º,9076,19,Pavão
31/05/2022,2º,2764,16,Leão
31/05/2022,3º,1104,1,Avestruz
31/05/2022,4º,1633,9,Cobra
31/05/2022,5º,7405,2,Águia
30/05/2022,1º,8007,2,Águia
30/05/2022,2º,7957,15,Jacaré
30/05/2022,3º,7846,12,Elefante
30/05/2022,4º,8283,21,Touro
30/05/2022,5º,1311,3,Burro
28/05/2022,1º,4882,21,Touro
28/05/2022,2º,6517,5,Cachorro
28/05/2022,3º,8702,1,Avestruz
28/05/2022,4º,767,17,Macaco
28/05/2022,5º,8046,12,Elefante
27/05/2022,1º,8310,3,Burro
27/05/2022,2º,5908,2,Águia
27/05/2022,3º,9260,15,Jacaré
27/05/2022,4º,9892,23,Urso
27/05/2022,5º,3190,23,Urso
26/05/2022,1º,625,7,Carneiro
26/05/2022,2º,6363,16,Leão
26/05/2022,3º,684,21,Touro
26/05/2022,4º,4748,12,Elefante
26/05/2022,5º,6729,8,Camelo
25/05/2022,1º,5291,23,Urso
25/05/2022,2º,3480,20,Peru
25/05/2022,3º,5559,15,Jacaré
25/05/2022,4º,7032,8,Camelo
25/05/2022,5º,1628,7,Carneiro
24/05/2022,1º,3655,14,Gato
24/05/2022,2º,3057,15,Jacaré
24/05/2022,3º,2312,3,Burro
24/05/2022,4º,7779,20,Peru
24/05/2022,5º,5633,9,Cobra
23/05/2022,1º,6551,13,Galo
23/05/2022,2º,1096,24,Veado
23/05/2022,3º,5777,20,Peru
23/05/2022,4º,7224,6,Cabra
23/05/2022,5º,9348,12,Elefante
21/05/2022,1º,4032,8,Camelo
21/05/2022,2º,9270,18,Porco
21/05/2022,3º,2327,7,Carneiro
21/05/2022,4º,1966,17,Macaco
21/05/2022,5º,9926,7,Carneiro
20/05/2022,1º,5892,23,Urso
20/05/2022,2º,4991,23,Urso
20/05/2022,3º,9809,3,Burro
20/05/2022,4º,7163,16,Leão
20/05/2022,5º,1519,5,Cachorro
19/05/2022,1º,1955,14,Gato
19/05/2022,2º,9473,19,Pavão
19/05/2022,3º,1624,6,Cabra
19/05/2022,4º,6094,24,Veado
19/05/2022,5º,6190,23,Urso
18/05/2022,1º,5827,7,Carneiro
18/05/2022,2º,3133,9,Cobra
18/05/2022,3º,9839,10,Coelho
18/05/2022,4º,9064,16,Leão
18/05/2022,5º,5831,8,Camelo
17/05/2022,1º,1574,19,Pavão
17/05/2022,2º,4690,23,Urso
17/05/2022,3º,8030,8,Camelo
17/05/2022,4º,3932,8,Camelo
17/05/2022,5º,1317,5,Cachorro
16/05/2022,1º,8628,7,Carneiro
16/05/2022,2º,5373,19,Pavão
16/05/2022,3º,3886,22,Tigre
16/05/2022,4º,1132,8,Camelo
16/05/2022,5º,9748,12,Elefante
14/05/2022,1º,383,21,Touro
14/05/2022,2º,741,11,Cavalo
14/05/2022,3º,2743,11,Cavalo
14/05/2022,4º,478,20,Peru
14/05/2022,5º,8730,8,Camelo
13/05/2022,1º,9167,17,Macaco
13/05/2022,2º,4481,21,Touro
13/05/2022,3º,2520,5,Cachorro
13/05/2022,4º,541,11,Cavalo
13/05/2022,5º,2587,22,Tigre
12/05/2022,1º,9371,18,Porco
12/05/2022,2º,1148,12,Elefante
12/05/2022,3º,8664,16,Leão
12/05/2022,4º,4476,19,Pavão
12/05/2022,5º,9452,13,Galo
11/05/2022,1º,1103,1,Avestruz
11/05/2022,2º,7436,9,Cobra
11/05/2022,3º,5645,12,Elefante
11/05/2022,4º,7839,10,Coelho
11/05/2022,5º,6316,4,Borboleta
10/05/2022,1º,5316,4,Borboleta
10/05/2022,2º,452,13,Galo
10/05/2022,3º,3108,2,Águia
10/05/2022,4º,1668,17,Macaco
10/05/2022,5º,1592,23,Urso
09/05/2022,1º,4865,17,Macaco
09/05/2022,2º,8082,21,Touro
09/05/2022,3º,5808,2,Águia
09/05/2022,4º,6707,2,Águia
09/05/2022,5º,2418,5,Cachorro
07/05/2022,1º,3515,4,Borboleta
07/05/2022,2º,1322,6,Cabra
07/05/2022,3º,2541,11,Cavalo
07/05/2022,4º,5683,21,Touro
07/05/2022,5º,6139,10,Coelho
06/05/2022,1º,4590,23,Urso
06/05/2022,2º,7013,4,Borboleta
06/05/2022,3º,183,21,Touro
06/05/2022,4º,2920,5,Cachorro
06/05/2022,5º,6080,20,Peru
05/05/2022,1º,4161,16,Leão
05/05/2022,2º,9945,12,Elefante
05/05/2022,3º,8700,25,Vaca
05/05/2022,4º,2940,10,Coelho
05/05/2022,5º,9876,19,Pavão
04/05/2022,1º,106,2,Águia
04/05/2022,2º,3962,16,Leão
04/05/2022,3º,2905,2,Águia
04/05/2022,4º,5928,7,Carneiro
04/05/2022,5º,1621,6,Cabra
03/05/2022,1º,6384,21,Touro
03/05/2022,2º,1171,18,Porco
